Name,Tier,Klasse
Phoenix,6,Linienschiff
Golden Apostel,6,Mörser
Shunsen,6,Unterstützer
Kwee Song,5,Linienschiff
Southhampton,5,Linienschiff
Eagle,5,Mörser
San Martin,5,Linienschiff
Constitution,4,Linienschiff
Red Arrow,4,Mörser
Sparrow,4,Mörser
Friedrich Wilhelm,4,Unterstützer
Essex,4,Unterstützer
Three Hierarchs,4,Linienschiff
Shen,3,Mörser
Azov,3,Linienschiff
Le Saint Louis,3,Unterstützer
Deadfish,3,Linienschiff
Kobukson,3,Mörser
Bellona,3,Linienschiff
Sans Pareil,2,Unterstützer
Redoubtable,2,Linienschiff
Adventure,2,Mörser
Octopus,2,Unterstützer
Neptuno,2,Unterstützer
Vasa,2,Linienschiff
St.Pavel,2,Linienschiff
Montanes,2,Linienschiff
Sovereign,1,Linienschiff
De Zeven Provincien,1,Mörser
Santisima,1,Linienschiff
Huracan,1,Linienschiff
La Royale,1,Mörser
Apostolov,1,Linienschiff
